row,group,slot (where the term is used),proposed name,proposed definition,decision item,candidate ontology to check,existing CURIE (fill in),action: reuse / mint,notes
46,methods,subject_interaction.method / relation.method,10x Chromium 3-prime,"Droplet single-cell RNA sequencing, 3-prime.",26,EFO,,,
47,methods,subject_interaction.method / relation.method,SAW CellBin nucleus segmentation,"Nucleus segmentation from a stain image, dilated outward.",28,mint,,,
48,methods,subject_interaction.method / relation.method,Leiden clustering,Community-detection clustering (Leiden algorithm).,27,STATO / EDAM / mint,,,
49,methods,subject_interaction.method / relation.method,nearest-neighbour atlas transfer,Assigning each cell the type of its nearest reference-atlas cells.,27,mint,,,
50,methods,subject_interaction.method / relation.method,log1p CP10k normalization,"log(1 + counts per 10,000).",26,EDAM / mint,,,
51,methods,subject_interaction.method / relation.method,Ensembl Compara orthology,Orthology inference by Ensembl Compara.,24,EDAM / mint,,,
52,relation terms,directed_relation.relation,derived from,The child was derived from the parent.,"22, 27",RO,,,exists in RO; confirm the id
53,relation terms,directed_relation.relation,orthologous gene mapping,The child gene list maps to the parent gene list by orthology (pairs are inferred).,24,"RO / SO homology terms, else mint",,,
54,relation terms,directed_relation.relation,gene alias mapping,The child gene list maps to the parent gene list by renaming (same genes).,24,mint,,,
55,relation terms,directed_relation.relation,stored at,A dataset is stored at a web resource.,22,already in the V_eta relation vocabulary (D-F),,,"no action, listed for completeness"
56,scales and formats,score.value.scale,orthology confidence,A confidence score for an inferred orthology pair.,24,mint,,,
57,scales and formats,score.value.scale,"log1p counts per 10,000",Expression normalized as log(1 + counts per 10k).,26,mint,,,
58,scales and formats,data_body.format,Stereo-seq GEF,The SAW gene expression file (HDF5-based).,"14, 17, 25",EDAM (formats) / mint for NDI layouts,,,
59,scales and formats,data_body.format,TSV,Tab-separated values with one header row.,"14, 17, 25",EDAM (formats) / mint for NDI layouts,,,
60,scales and formats,data_body.format,TIFF,Tagged Image File Format.,"14, 17, 25",EDAM (formats) / mint for NDI layouts,,,
61,scales and formats,data_body.format,dense-C,A dense array in C (row-major) order.,"14, 17, 25",EDAM (formats) / mint for NDI layouts,,,
62,scales and formats,data_body.format,grouped-by-first-key/1,"NDI contours.bin layout: counts, offsets, then grouped values.","14, 17, 25",EDAM (formats) / mint for NDI layouts,,,
63,scales and formats,data_body.format,ndi-sgep-tile/1,NDI tile.bin layout for sparse gene-expression tiles.,"14, 17, 25",EDAM (formats) / mint for NDI layouts,,,
64,scales and formats,data_body.format,h5ad,AnnData HDF5 file.,"14, 17, 25",EDAM (formats) / mint for NDI layouts,,,
65,scales and formats,data_body.compression,lzw,LZW compression.,14,EDAM / mint,,,
66,channel labels,keys[].labels (channel),GCaMP6s,The GCaMP6s fluorescent indicator/protein.,16,FPbase / FBbi / mint,,,
67,channel labels,keys[].labels (channel),tdTomato,The tdTomato fluorescent indicator/protein.,16,FPbase / FBbi / mint,,,
68,channel labels,keys[].labels (channel),red,The red colour channel of an RGB image.,16,mint,,,
69,channel labels,keys[].labels (channel),green,The green colour channel of an RGB image.,16,mint,,,
70,channel labels,keys[].labels (channel),blue,The blue colour channel of an RGB image.,16,mint,,,
71,channel labels,keys[].labels (statistic),minimum / maximum,Bin minimum / bin maximum.,15,STATO,,,2 terms
